Player Name,Year,School Name,Conference,Classification,Games Played,Attempts,Yards,Average,Touchdowns,Reception,Receiving Yards,Avg/Rec,Receiving Touchdowns,Total Plays,Total Yards,Total Average,Total TDs,Kick Returns,Kick Return Yards,Kick Return Average,Kick Return Touchdowns,Punt Returns,Punt Return Yards,Punt Return Average,Punt Return TDs,Total Touches,Total Touchdowns,Rush Attempts/G,Rush Yards/Game,Rush TDs/Game,Receptions/G,Receiving Yards/G,Receiving TDs/G,Touches/Game,Total Touchdowns/Game,Total Touches/TD,RBR,All Conference,All American,Conference Player of The Year,Conference Freshman of Year,Doak Walker,Heisman,Drafted,All Conference Y2D,Heisman Y2D,All American Y2D,Conference POY2D,Doak Walker Y2D,Conf Fresh Y2D,Binary All American
Travis Etienne,2018,Clemson,ACC,SO,15,204,1658,8.12745098,24,12,78,6.5,2,216,1736,8.037037037,26,,,#DIV/0!,,,,#DIV/0!,,216,26,13.6,110.5333333,1.6,0.8,5.2,0.133333333,14.4,1.733333333,8.307692308,13.22058823,1,1,0,0,0,0,1,1,0,0,0,0,0,yes
Travis Etienne,2019,Clemson,ACC,JR,15,207,1614,7.797101449,19,37,432,11.67567568,4,244,2046,8.385245902,23,5,128,25.6,0,,,#DIV/0!,,249,23,13.8,107.6,1.266666667,2.466666667,28.8,0.266666667,16.6,1.533333333,10.60869565,10.87304105,1,1,1,0,0,0,1,2,0,1,0,0,0,yes
Travis Etienne,2020,Clemson,ACC,SR,15,168,914,5.44047619,14,48,588,12.25,2,216,1502,6.953703704,16,8,189,23.625,0,,,#DIV/0!,,224,16,11.2,60.93333333,0.933333333,3.2,39.2,0.133333333,14.93333333,1.066666667,13.5,5.689300405,1,1,1,0,0,0,1,3,0,2,1,0,0,yes
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,0,,,#DIV/0!,,,,#DIV/0!,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
